Found total 1983 regions
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11054,2010-03-10,,,,,,0,0,0,1,
11054,2010-03-11,A,10,2,Bxo,&beta;,0,0,0,9,
11054,2010-03-12,A,110,7,Dso,&beta;,1,0,0,8,
11054,2010-03-13,A,190,12,Dao,&beta;,1,0,0,6,
11054,2010-03-14,A,230,22,Esc,&beta;&gamma;,1,0,0,5,
11054,2010-03-15,A,230,20,Esi,&beta;&gamma;,0,0,0,4,
11054,2010-03-16,A,240,18,Eai,&beta;&gamma;,0,0,0,0,
11054,2010-03-17,A,90,11,Dai,&beta;,0,0,0,0,
11054,2010-03-18,A,70,4,Cai,&beta;,0,0,0,4,
11054,2010-03-19,A,40,3,Bxo,&beta;,0,0,0,2,
11054,2010-03-20,A,10,1,Hsx,&alpha;,0,0,0,0,
11054,2010-03-21,A,10,1,Axx,&alpha;,0,0,0,4,
11054,2010-03-22,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11109,2010-09-20,,,,,,3,0,0,5,
11109,2010-09-21,,,,,,1,0,0,3,
11109,2010-09-22,A,30,1,Hrx,&alpha;,0,0,0,1,
11109,2010-09-23,A,200,4,Dko,&beta;,0,0,0,1,
11109,2010-09-24,A,210,12,Dso,&beta;,0,0,0,2,
11109,2010-09-25,A,280,12,Eho,&beta;,0,0,0,0,
11109,2010-09-26,A,280,18,Ehi,&beta;&gamma;,0,0,0,9,
11109,2010-09-27,A,360,22,Esi,&beta;,0,0,0,3,
11109,2010-09-28,A,420,20,Eki,&beta;,0,0,0,3,
11109,2010-09-29,A,280,12,Eai,&beta;,0,0,0,2,
11109,2010-09-30,A,310,13,Ehi,&beta;,0,0,0,4,
11109,2010-10-01,A,240,11,Dhi,&beta;,0,0,0,4,
11109,2010-10-02,A,270,11,Dho,&beta;,0,0,0,2,
11109,2010-10-03,A,320,8,Cko,&beta;,0,0,0,1,
11109,2010-10-04,A,220,3,Hax,&alpha;,1,0,0,2,
11109,2010-10-05,A,90,1,Hax,&alpha;,0,0,0,2,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11123,2010-11-09,,,,,,0,0,0,1,
11123,2010-11-10,,,,,,0,0,0,6,
